Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,040913,2020,04,09,20.1,1,Y
IDCJAC0011,040913,2020,04,10,18.9,1,Y
IDCJAC0011,040913,2020,04,11,18.6,1,Y
IDCJAC0011,040913,2020,04,12,15.3,1,Y
IDCJAC0011,040913,2020,04,13,14.8,1,Y
IDCJAC0011,040913,2020,04,14,16.1,1,Y
IDCJAC0011,040913,2020,04,15,16.7,1,Y
IDCJAC0011,040913,2020,04,16,16.5,1,Y
IDCJAC0011,040913,2020,04,17,16.2,1,Y
IDCJAC0011,040913,2020,04,18,21.0,1,Y
IDCJAC0011,040913,2020,04,19,17.0,1,Y
IDCJAC0011,040913,2020,04,20,14.1,1,Y
IDCJAC0011,040913,2020,04,21,15.4,1,Y
IDCJAC0011,040913,2020,04,22,18.4,1,Y
IDCJAC0011,040913,2020,04,23,17.2,1,Y
IDCJAC0011,040913,2020,04,24,16.9,1,Y
IDCJAC0011,040913,2020,04,25,17.2,1,Y
IDCJAC0011,040913,2020,04,26,16.0,1,Y
IDCJAC0011,040913,2020,04,27,16.7,1,Y
IDCJAC0011,040913,2020,04,28,19.1,1,Y
IDCJAC0011,040913,2020,04,29,18.0,1,Y
IDCJAC0011,040913,2020,04,30,16.8,1,Y
IDCJAC0011,040913,2020,05,01,15.1,1,Y
IDCJAC0011,040913,2020,05,02,10.4,1,Y
IDCJAC0011,040913,2020,05,03,13.1,1,Y
IDCJAC0011,040913,2020,05,04,11.6,1,Y
IDCJAC0011,040913,2020,05,05,13.4,1,Y
IDCJAC0011,040913,2020,05,06,15.3,1,Y
IDCJAC0011,040913,2020,05,07,15.3,1,Y
IDCJAC0011,040913,2020,05,08,14.4,1,Y
IDCJAC0011,040913,2020,05,09,14.7,1,Y
IDCJAC0011,040913,2020,05,10,16.4,1,Y
IDCJAC0011,040913,2020,05,11,14.5,1,Y
IDCJAC0011,040913,2020,05,12,12.3,1,Y
IDCJAC0011,040913,2020,05,13,15.6,1,Y
IDCJAC0011,040913,2020,05,14,14.9,1,Y
IDCJAC0011,040913,2020,05,15,13.4,1,Y
IDCJAC0011,040913,2020,05,16,14.5,1,Y
IDCJAC0011,040913,2020,05,17,15.0,1,Y
IDCJAC0011,040913,2020,05,18,15.6,1,Y
IDCJAC0011,040913,2020,05,19,14.1,1,Y
IDCJAC0011,040913,2020,05,20,16.0,1,Y
IDCJAC0011,040913,2020,05,21,16.6,1,Y
IDCJAC0011,040913,2020,05,22,13.8,1,Y
IDCJAC0011,040913,2020,05,23,11.4,1,Y
IDCJAC0011,040913,2020,05,24,10.4,1,Y
IDCJAC0011,040913,2020,05,25,12.3,1,Y
IDCJAC0011,040913,2020,05,26,10.2,1,Y
IDCJAC0011,040913,2020,05,27,11.1,1,Y
IDCJAC0011,040913,2020,05,28,14.4,1,Y
IDCJAC0011,040913,2020,05,29,15.1,1,Y
IDCJAC0011,040913,2020,05,30,13.6,1,Y
IDCJAC0011,040913,2020,05,31,14.7,1,Y
IDCJAC0011,040913,2020,06,01,14.0,1,Y
IDCJAC0011,040913,2020,06,02,14.6,1,Y
IDCJAC0011,040913,2020,06,03,9.5,1,Y
IDCJAC0011,040913,2020,06,04,10.3,1,Y
IDCJAC0011,040913,2020,06,05,12.6,1,Y
IDCJAC0011,040913,2020,06,06,10.4,1,Y
IDCJAC0011,040913,2020,06,07,10.9,1,Y
IDCJAC0011,040913,2020,06,08,12.1,1,Y
IDCJAC0011,040913,2020,06,09,10.8,1,Y
IDCJAC0011,040913,2020,06,10,14.9,1,Y
IDCJAC0011,040913,2020,06,11,15.4,1,Y
IDCJAC0011,040913,2020,06,12,13.9,1,Y
IDCJAC0011,040913,2020,06,13,13.4,1,Y
IDCJAC0011,040913,2020,06,14,18.6,1,Y
IDCJAC0011,040913,2020,06,15,15.4,1,Y
IDCJAC0011,040913,2020,06,16,14.6,1,Y
IDCJAC0011,040913,2020,06,17,13.0,1,Y
IDCJAC0011,040913,2020,06,18,15.0,1,Y
IDCJAC0011,040913,2020,06,19,12.9,1,Y
IDCJAC0011,040913,2020,06,20,13.1,1,Y
IDCJAC0011,040913,2020,06,21,14.1,1,Y
IDCJAC0011,040913,2020,06,22,11.5,1,Y
IDCJAC0011,040913,2020,06,23,9.1,1,Y
IDCJAC0011,040913,2020,06,24,10.5,1,Y
IDCJAC0011,040913,2020,06,25,9.6,1,Y
IDCJAC0011,040913,2020,06,26,9.7,1,Y
IDCJAC0011,040913,2020,06,27,10.5,1,Y
IDCJAC0011,040913,2020,06,28,14.3,1,Y
IDCJAC0011,040913,2020,06,29,10.9,1,Y
IDCJAC0011,040913,2020,06,30,10.3,1,Y
IDCJAC0011,040913,2020,07,01,11.3,1,N
IDCJAC0011,040913,2020,07,02,10.9,1,Y
IDCJAC0011,040913,2020,07,03,11.7,1,N
IDCJAC0011,040913,2020,07,04,11.7,1,N
IDCJAC0011,040913,2020,07,05,7.6,1,N
IDCJAC0011,040913,2020,07,06,8.1,1,N
IDCJAC0011,040913,2020,07,07,8.1,1,N
IDCJAC0011,040913,2020,07,08,11.1,1,N
IDCJAC0011,040913,2020,07,09,14.3,1,N
IDCJAC0011,040913,2020,07,10,13.5,1,N
IDCJAC0011,040913,2020,07,11,13.7,1,N
IDCJAC0011,040913,2020,07,12,13.9,1,N
IDCJAC0011,040913,2020,07,13,14.3,1,N
IDCJAC0011,040913,2020,07,14,10.1,1,N
IDCJAC0011,040913,2020,07,15,10.5,1,N
IDCJAC0011,040913,2020,07,16,8.4,1,N
IDCJAC0011,040913,2020,07,17,9.0,1,N
IDCJAC0011,040913,2020,07,18,10.2,1,N
IDCJAC0011,040913,2020,07,19,10.1,1,N
IDCJAC0011,040913,2020,07,20,9.5,1,N
IDCJAC0011,040913,2020,07,21,12.4,1,N
IDCJAC0011,040913,2020,07,22,13.0,1,N
IDCJAC0011,040913,2020,07,23,12.8,1,N
IDCJAC0011,040913,2020,07,24,14.1,1,N
IDCJAC0011,040913,2020,07,25,14.6,1,N
IDCJAC0011,040913,2020,07,26,15.9,1,N
IDCJAC0011,040913,2020,07,27,13.1,1,N
IDCJAC0011,040913,2020,07,28,12.6,1,N
IDCJAC0011,040913,2020,07,29,8.3,1,N
IDCJAC0011,040913,2020,07,30,11.1,1,N
IDCJAC0011,040913,2020,07,31,11.1,1,N
IDCJAC0011,040913,2020,08,01,11.9,1,N
IDCJAC0011,040913,2020,08,02,10.2,1,N
IDCJAC0011,040913,2020,08,03,11.6,1,N
IDCJAC0011,040913,2020,08,04,11.9,1,N
IDCJAC0011,040913,2020,08,05,10.3,1,N
IDCJAC0011,040913,2020,08,06,9.8,1,N
IDCJAC0011,040913,2020,08,07,14.8,1,N
IDCJAC0011,040913,2020,08,08,14.7,1,N
IDCJAC0011,040913,2020,08,09,9.8,1,N
IDCJAC0011,040913,2020,08,10,9.8,1,N
IDCJAC0011,040913,2020,08,11,11.0,1,N
IDCJAC0011,040913,2020,08,12,10.9,1,N
IDCJAC0011,040913,2020,08,13,12.4,1,N
IDCJAC0011,040913,2020,08,14,14.3,1,N
IDCJAC0011,040913,2020,08,15,16.9,1,N
IDCJAC0011,040913,2020,08,16,12.1,1,N
IDCJAC0011,040913,2020,08,17,10.3,1,N
IDCJAC0011,040913,2020,08,18,8.0,1,N
IDCJAC0011,040913,2020,08,19,11.9,1,N
IDCJAC0011,040913,2020,08,20,13.3,1,N
IDCJAC0011,040913,2020,08,21,9.2,1,Y
IDCJAC0011,040913,2020,08,22,15.6,1,N
IDCJAC0011,040913,2020,08,23,10.5,1,N
IDCJAC0011,040913,2020,08,24,9.1,1,N
IDCJAC0011,040913,2020,08,25,8.0,1,Y
IDCJAC0011,040913,2020,08,26,9.3,1,N
IDCJAC0011,040913,2020,08,27,10.5,1,N
IDCJAC0011,040913,2020,08,28,10.3,1,N
IDCJAC0011,040913,2020,08,29,12.3,1,N
IDCJAC0011,040913,2020,08,30,13.1,1,N
IDCJAC0011,040913,2020,08,31,11.1,1,N
IDCJAC0011,040913,2020,09,01,12.8,1,Y
IDCJAC0011,040913,2020,09,02,14.5,1,Y
IDCJAC0011,040913,2020,09,03,13.9,1,Y
IDCJAC0011,040913,2020,09,04,15.7,1,Y
IDCJAC0011,040913,2020,09,05,14.2,1,Y
IDCJAC0011,040913,2020,09,06,16.4,1,Y
IDCJAC0011,040913,2020,09,07,16.5,1,Y
IDCJAC0011,040913,2020,09,08,14.1,1,Y
IDCJAC0011,040913,2020,09,09,14.1,1,Y
IDCJAC0011,040913,2020,09,10,13.4,1,Y
IDCJAC0011,040913,2020,09,11,14.9,1,Y
IDCJAC0011,040913,2020,09,12,12.6,1,Y
IDCJAC0011,040913,2020,09,13,13.3,1,Y
IDCJAC0011,040913,2020,09,14,14.0,1,Y
IDCJAC0011,040913,2020,09,15,15.0,1,Y
IDCJAC0011,040913,2020,09,16,14.5,1,Y
IDCJAC0011,040913,2020,09,17,14.3,1,Y
IDCJAC0011,040913,2020,09,18,16.1,1,Y
IDCJAC0011,040913,2020,09,19,16.4,1,Y
IDCJAC0011,040913,2020,09,20,16.9,1,Y
IDCJAC0011,040913,2020,09,21,17.0,1,Y
IDCJAC0011,040913,2020,09,22,19.9,1,Y
IDCJAC0011,040913,2020,09,23,20.8,1,Y
IDCJAC0011,040913,2020,09,24,18.7,1,Y
IDCJAC0011,040913,2020,09,25,14.3,1,Y
IDCJAC0011,040913,2020,09,26,15.6,1,Y
IDCJAC0011,040913,2020,09,27,10.3,1,Y
IDCJAC0011,040913,2020,09,28,12.0,1,Y
IDCJAC0011,040913,2020,09,29,13.4,1,Y
IDCJAC0011,040913,2020,09,30,11.0,1,Y
IDCJAC0011,040913,2020,10,01,14.6,1,N
IDCJAC0011,040913,2020,10,02,15.5,1,N
IDCJAC0011,040913,2020,10,03,16.6,1,N
IDCJAC0011,040913,2020,10,04,14.6,1,N
IDCJAC0011,040913,2020,10,05,16.2,1,N
IDCJAC0011,040913,2020,10,06,16.2,1,N
IDCJAC0011,040913,2020,10,07,15.8,1,N
IDCJAC0011,040913,2020,10,08,15.3,1,N
IDCJAC0011,040913,2020,10,09,16.0,1,N
IDCJAC0011,040913,2020,10,10,14.7,1,N
IDCJAC0011,040913,2020,10,11,16.5,1,N
IDCJAC0011,040913,2020,10,12,17.4,1,N
IDCJAC0011,040913,2020,10,13,16.5,1,N
IDCJAC0011,040913,2020,10,14,15.8,1,N
IDCJAC0011,040913,2020,10,15,14.8,1,N
IDCJAC0011,040913,2020,10,16,15.0,1,N
IDCJAC0011,040913,2020,10,17,16.9,1,N
IDCJAC0011,040913,2020,10,18,16.6,1,N
IDCJAC0011,040913,2020,10,19,16.9,1,N
IDCJAC0011,040913,2020,10,20,18.3,1,N
IDCJAC0011,040913,2020,10,21,16.3,1,N
IDCJAC0011,040913,2020,10,22,18.5,1,N
IDCJAC0011,040913,2020,10,23,19.2,1,N
IDCJAC0011,040913,2020,10,24,21.6,1,N
IDCJAC0011,040913,2020,10,25,19.4,1,N
IDCJAC0011,040913,2020,10,26,19.4,1,N
IDCJAC0011,040913,2020,10,27,19.7,1,N
IDCJAC0011,040913,2020,10,28,17.6,1,N
IDCJAC0011,040913,2020,10,29,16.7,1,N
IDCJAC0011,040913,2020,10,30,17.1,1,N
IDCJAC0011,040913,2020,10,31,21.8,1,N
IDCJAC0011,040913,2020,11,01,16.0,1,Y
IDCJAC0011,040913,2020,11,02,18.5,1,Y
IDCJAC0011,040913,2020,11,03,16.8,1,Y
IDCJAC0011,040913,2020,11,04,16.6,1,Y
IDCJAC0011,040913,2020,11,05,18.0,1,Y
IDCJAC0011,040913,2020,11,06,17.8,1,Y
IDCJAC0011,040913,2020,11,07,17.0,1,Y
IDCJAC0011,040913,2020,11,08,18.4,1,Y
IDCJAC0011,040913,2020,11,09,15.8,1,Y
IDCJAC0011,040913,2020,11,10,15.6,1,Y
IDCJAC0011,040913,2020,11,11,15.5,1,Y
IDCJAC0011,040913,2020,11,12,18.3,1,Y
IDCJAC0011,040913,2020,11,13,19.9,1,Y
IDCJAC0011,040913,2020,11,14,19.1,1,Y
IDCJAC0011,040913,2020,11,15,20.8,1,Y
IDCJAC0011,040913,2020,11,16,22.8,1,Y
IDCJAC0011,040913,2020,11,17,22.3,1,Y
IDCJAC0011,040913,2020,11,18,22.2,1,Y
IDCJAC0011,040913,2020,11,19,20.4,1,Y
IDCJAC0011,040913,2020,11,20,17.3,1,Y
IDCJAC0011,040913,2020,11,21,18.9,1,Y
IDCJAC0011,040913,2020,11,22,18.5,1,Y
IDCJAC0011,040913,2020,11,23,19.5,1,Y
IDCJAC0011,040913,2020,11,24,22.5,1,Y
IDCJAC0011,040913,2020,11,25,22.4,1,Y
IDCJAC0011,040913,2020,11,26,19.1,1,Y
IDCJAC0011,040913,2020,11,27,19.9,1,Y
IDCJAC0011,040913,2020,11,28,17.8,1,Y
IDCJAC0011,040913,2020,11,29,20.4,1,Y
IDCJAC0011,040913,2020,11,30,21.3,1,Y
IDCJAC0011,040913,2020,12,01,23.3,1,Y
IDCJAC0011,040913,2020,12,02,23.9,1,Y
IDCJAC0011,040913,2020,12,03,25.1,1,Y
IDCJAC0011,040913,2020,12,04,23.6,1,Y
IDCJAC0011,040913,2020,12,05,22.5,1,Y
IDCJAC0011,040913,2020,12,06,23.6,1,Y
IDCJAC0011,040913,2020,12,07,25.8,1,Y
