Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,070351,2020,04,08,18.9,1,Y
IDCJAC0010,070351,2020,04,09,20.5,1,Y
IDCJAC0010,070351,2020,04,10,18.5,1,Y
IDCJAC0010,070351,2020,04,11,17.0,1,Y
IDCJAC0010,070351,2020,04,12,17.1,1,Y
IDCJAC0010,070351,2020,04,13,17.4,1,Y
IDCJAC0010,070351,2020,04,14,20.3,1,Y
IDCJAC0010,070351,2020,04,15,24.4,1,Y
IDCJAC0010,070351,2020,04,16,22.6,1,Y
IDCJAC0010,070351,2020,04,17,18.8,1,Y
IDCJAC0010,070351,2020,04,18,18.5,1,Y
IDCJAC0010,070351,2020,04,19,17.9,1,Y
IDCJAC0010,070351,2020,04,20,18.2,1,Y
IDCJAC0010,070351,2020,04,21,20.8,1,Y
IDCJAC0010,070351,2020,04,22,20.7,1,Y
IDCJAC0010,070351,2020,04,23,18.7,1,Y
IDCJAC0010,070351,2020,04,24,22.3,1,Y
IDCJAC0010,070351,2020,04,25,20.8,1,Y
IDCJAC0010,070351,2020,04,26,17.5,1,Y
IDCJAC0010,070351,2020,04,27,18.5,1,Y
IDCJAC0010,070351,2020,04,28,21.9,1,Y
IDCJAC0010,070351,2020,04,29,16.8,1,Y
IDCJAC0010,070351,2020,04,30,9.7,1,Y
IDCJAC0010,070351,2020,05,01,9.4,1,Y
IDCJAC0010,070351,2020,05,02,10.8,1,Y
IDCJAC0010,070351,2020,05,03,14.2,1,Y
IDCJAC0010,070351,2020,05,04,15.4,1,Y
IDCJAC0010,070351,2020,05,05,17.2,1,Y
IDCJAC0010,070351,2020,05,06,18.0,1,Y
IDCJAC0010,070351,2020,05,07,18.8,1,Y
IDCJAC0010,070351,2020,05,08,19.8,1,Y
IDCJAC0010,070351,2020,05,09,16.4,1,Y
IDCJAC0010,070351,2020,05,10,11.6,1,Y
IDCJAC0010,070351,2020,05,11,13.8,1,Y
IDCJAC0010,070351,2020,05,12,14.2,1,Y
IDCJAC0010,070351,2020,05,13,15.0,1,Y
IDCJAC0010,070351,2020,05,14,15.0,1,Y
IDCJAC0010,070351,2020,05,15,15.0,1,Y
IDCJAC0010,070351,2020,05,16,16.1,1,Y
IDCJAC0010,070351,2020,05,17,17.1,1,Y
IDCJAC0010,070351,2020,05,18,17.3,1,Y
IDCJAC0010,070351,2020,05,19,17.4,1,Y
IDCJAC0010,070351,2020,05,20,15.3,1,Y
IDCJAC0010,070351,2020,05,21,14.3,1,Y
IDCJAC0010,070351,2020,05,22,12.9,1,Y
IDCJAC0010,070351,2020,05,23,11.3,1,Y
IDCJAC0010,070351,2020,05,24,14.1,1,Y
IDCJAC0010,070351,2020,05,25,13.6,1,Y
IDCJAC0010,070351,2020,05,26,15.2,1,Y
IDCJAC0010,070351,2020,05,27,14.3,1,Y
IDCJAC0010,070351,2020,05,28,16.6,1,Y
IDCJAC0010,070351,2020,05,29,14.6,1,Y
IDCJAC0010,070351,2020,05,30,15.5,1,Y
IDCJAC0010,070351,2020,05,31,16.0,1,Y
IDCJAC0010,070351,2020,06,01,12.5,1,Y
IDCJAC0010,070351,2020,06,02,11.8,1,Y
IDCJAC0010,070351,2020,06,03,13.2,1,Y
IDCJAC0010,070351,2020,06,04,13.2,1,Y
IDCJAC0010,070351,2020,06,05,13.2,1,Y
IDCJAC0010,070351,2020,06,06,13.6,1,Y
IDCJAC0010,070351,2020,06,07,11.3,1,Y
IDCJAC0010,070351,2020,06,08,13.7,1,Y
IDCJAC0010,070351,2020,06,09,12.9,1,Y
IDCJAC0010,070351,2020,06,10,15.5,1,Y
IDCJAC0010,070351,2020,06,11,14.2,1,Y
IDCJAC0010,070351,2020,06,12,14.8,1,Y
IDCJAC0010,070351,2020,06,13,16.2,1,Y
IDCJAC0010,070351,2020,06,14,13.2,1,Y
IDCJAC0010,070351,2020,06,15,14.1,1,Y
IDCJAC0010,070351,2020,06,16,15.2,1,Y
IDCJAC0010,070351,2020,06,17,13.4,1,Y
IDCJAC0010,070351,2020,06,18,14.9,1,Y
IDCJAC0010,070351,2020,06,19,15.8,1,Y
IDCJAC0010,070351,2020,06,20,17.1,1,Y
IDCJAC0010,070351,2020,06,21,12.4,1,Y
IDCJAC0010,070351,2020,06,22,10.6,1,Y
IDCJAC0010,070351,2020,06,23,11.6,1,Y
IDCJAC0010,070351,2020,06,24,15.2,1,Y
IDCJAC0010,070351,2020,06,25,13.1,1,Y
IDCJAC0010,070351,2020,06,26,12.2,1,Y
IDCJAC0010,070351,2020,06,27,11.2,1,Y
IDCJAC0010,070351,2020,06,28,13.0,1,Y
IDCJAC0010,070351,2020,06,29,11.4,1,Y
IDCJAC0010,070351,2020,06,30,13.1,1,Y
IDCJAC0010,070351,2020,07,01,15.1,1,Y
IDCJAC0010,070351,2020,07,02,14.0,1,Y
IDCJAC0010,070351,2020,07,03,11.6,1,Y
IDCJAC0010,070351,2020,07,04,11.4,1,Y
IDCJAC0010,070351,2020,07,05,13.5,1,Y
IDCJAC0010,070351,2020,07,06,9.5,1,Y
IDCJAC0010,070351,2020,07,07,13.9,1,Y
IDCJAC0010,070351,2020,07,08,11.9,1,Y
IDCJAC0010,070351,2020,07,09,14.5,1,Y
IDCJAC0010,070351,2020,07,10,15.1,1,Y
IDCJAC0010,070351,2020,07,11,8.5,1,Y
IDCJAC0010,070351,2020,07,12,11.7,1,Y
IDCJAC0010,070351,2020,07,13,11.7,1,Y
IDCJAC0010,070351,2020,07,14,12.6,1,Y
IDCJAC0010,070351,2020,07,15,12.5,1,Y
