Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,009225,2020,04,07,33.6,1,Y
IDCJAC0010,009225,2020,04,08,32.6,1,Y
IDCJAC0010,009225,2020,04,09,34.0,1,Y
IDCJAC0010,009225,2020,04,10,35.6,1,Y
IDCJAC0010,009225,2020,04,11,39.5,1,Y
IDCJAC0010,009225,2020,04,12,26.2,1,Y
IDCJAC0010,009225,2020,04,13,26.7,1,Y
IDCJAC0010,009225,2020,04,14,24.9,1,Y
IDCJAC0010,009225,2020,04,15,24.2,1,Y
IDCJAC0010,009225,2020,04,16,25.1,1,Y
IDCJAC0010,009225,2020,04,17,27.4,1,Y
IDCJAC0010,009225,2020,04,18,22.1,1,Y
IDCJAC0010,009225,2020,04,19,22.7,1,Y
IDCJAC0010,009225,2020,04,20,24.4,1,Y
IDCJAC0010,009225,2020,04,21,24.5,1,Y
IDCJAC0010,009225,2020,04,22,24.6,1,Y
IDCJAC0010,009225,2020,04,23,25.1,1,Y
IDCJAC0010,009225,2020,04,24,22.8,1,Y
IDCJAC0010,009225,2020,04,25,23.8,1,Y
IDCJAC0010,009225,2020,04,26,26.4,1,Y
IDCJAC0010,009225,2020,04,27,23.6,1,Y
IDCJAC0010,009225,2020,04,28,20.8,1,Y
IDCJAC0010,009225,2020,04,29,21.8,1,Y
IDCJAC0010,009225,2020,04,30,21.4,1,Y
IDCJAC0010,009225,2020,05,01,24.1,1,Y
IDCJAC0010,009225,2020,05,02,28.3,1,Y
IDCJAC0010,009225,2020,05,03,28.9,1,Y
IDCJAC0010,009225,2020,05,04,23.4,1,Y
IDCJAC0010,009225,2020,05,05,23.1,1,Y
IDCJAC0010,009225,2020,05,06,16.9,1,Y
IDCJAC0010,009225,2020,05,07,18.8,1,Y
IDCJAC0010,009225,2020,05,08,18.8,1,Y
IDCJAC0010,009225,2020,05,09,19.5,1,Y
IDCJAC0010,009225,2020,05,10,24.0,1,Y
IDCJAC0010,009225,2020,05,11,22.9,1,Y
