Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,086338,2020,04,08,11.7,1,N
IDCJAC0011,086338,2020,04,09,8.9,1,N
IDCJAC0011,086338,2020,04,10,12.7,1,N
IDCJAC0011,086338,2020,04,11,13.0,1,N
IDCJAC0011,086338,2020,04,12,11.0,1,N
IDCJAC0011,086338,2020,04,13,12.2,1,N
IDCJAC0011,086338,2020,04,14,12.1,1,N
IDCJAC0011,086338,2020,04,15,15.6,1,N
IDCJAC0011,086338,2020,04,16,15.4,1,N
IDCJAC0011,086338,2020,04,17,11.4,1,N
IDCJAC0011,086338,2020,04,18,12.9,1,N
IDCJAC0011,086338,2020,04,19,11.2,1,N
IDCJAC0011,086338,2020,04,20,12.0,1,N
IDCJAC0011,086338,2020,04,21,8.5,1,N
IDCJAC0011,086338,2020,04,22,12.8,1,N
IDCJAC0011,086338,2020,04,23,9.6,1,N
IDCJAC0011,086338,2020,04,24,15.1,1,N
IDCJAC0011,086338,2020,04,25,10.5,1,N
IDCJAC0011,086338,2020,04,26,15.4,1,N
IDCJAC0011,086338,2020,04,27,8.1,1,N
IDCJAC0011,086338,2020,04,28,7.1,1,N
IDCJAC0011,086338,2020,04,29,11.2,1,N
IDCJAC0011,086338,2020,04,30,8.9,1,N
IDCJAC0011,086338,2020,05,01,7.6,1,N
IDCJAC0011,086338,2020,05,02,8.3,1,N
IDCJAC0011,086338,2020,05,03,9.8,1,N
IDCJAC0011,086338,2020,05,04,9.4,1,N
IDCJAC0011,086338,2020,05,05,8.0,1,N
IDCJAC0011,086338,2020,05,06,10.2,1,N
IDCJAC0011,086338,2020,05,07,15.1,1,N
IDCJAC0011,086338,2020,05,08,12.6,1,N
IDCJAC0011,086338,2020,05,09,12.6,1,N
IDCJAC0011,086338,2020,05,10,7.2,1,N
IDCJAC0011,086338,2020,05,11,7.8,1,N
IDCJAC0011,086338,2020,05,12,10.3,1,N
IDCJAC0011,086338,2020,05,13,10.4,1,N
IDCJAC0011,086338,2020,05,14,6.6,1,N
IDCJAC0011,086338,2020,05,15,4.5,1,N
IDCJAC0011,086338,2020,05,16,4.5,1,N
IDCJAC0011,086338,2020,05,17,5.1,1,N
IDCJAC0011,086338,2020,05,18,5.5,1,N
IDCJAC0011,086338,2020,05,19,8.1,1,N
IDCJAC0011,086338,2020,05,20,10.3,1,N
IDCJAC0011,086338,2020,05,21,9.4,1,N
IDCJAC0011,086338,2020,05,22,9.1,1,N
IDCJAC0011,086338,2020,05,23,9.4,1,N
IDCJAC0011,086338,2020,05,24,10.9,1,N
IDCJAC0011,086338,2020,05,25,5.5,1,N
IDCJAC0011,086338,2020,05,26,5.4,1,N
IDCJAC0011,086338,2020,05,27,5.9,1,N
IDCJAC0011,086338,2020,05,28,12.1,1,N
IDCJAC0011,086338,2020,05,29,7.2,1,N
IDCJAC0011,086338,2020,05,30,8.1,1,N
IDCJAC0011,086338,2020,05,31,12.4,1,N
IDCJAC0011,086338,2020,06,01,9.3,1,N
IDCJAC0011,086338,2020,06,02,8.4,1,N
IDCJAC0011,086338,2020,06,03,10.5,1,N
IDCJAC0011,086338,2020,06,04,9.3,1,N
IDCJAC0011,086338,2020,06,05,4.1,1,N
IDCJAC0011,086338,2020,06,06,6.0,1,N
IDCJAC0011,086338,2020,06,07,7.9,1,N
IDCJAC0011,086338,2020,06,08,4.5,1,N
IDCJAC0011,086338,2020,06,09,2.0,1,N
IDCJAC0011,086338,2020,06,10,3.9,1,N
IDCJAC0011,086338,2020,06,11,4.5,1,N
IDCJAC0011,086338,2020,06,12,4.2,1,N
IDCJAC0011,086338,2020,06,13,5.7,1,N
IDCJAC0011,086338,2020,06,14,10.4,1,N
IDCJAC0011,086338,2020,06,15,11.6,1,N
IDCJAC0011,086338,2020,06,16,13.0,1,N
IDCJAC0011,086338,2020,06,17,10.2,1,N
IDCJAC0011,086338,2020,06,18,4.6,1,N
IDCJAC0011,086338,2020,06,19,6.4,1,N
IDCJAC0011,086338,2020,06,20,12.8,1,N
IDCJAC0011,086338,2020,06,21,6.9,1,N
IDCJAC0011,086338,2020,06,22,8.1,1,N
IDCJAC0011,086338,2020,06,23,9.0,1,N
IDCJAC0011,086338,2020,06,24,10.1,1,N
IDCJAC0011,086338,2020,06,25,10.2,1,N
IDCJAC0011,086338,2020,06,26,7.9,1,Y
IDCJAC0011,086338,2020,06,27,6.2,1,N
IDCJAC0011,086338,2020,06,28,1.7,1,N
IDCJAC0011,086338,2020,06,29,2.2,1,N
IDCJAC0011,086338,2020,06,30,3.0,1,N
IDCJAC0011,086338,2020,07,01,9.8,1,N
IDCJAC0011,086338,2020,07,02,10.2,1,Y
IDCJAC0011,086338,2020,07,03,7.7,1,N
IDCJAC0011,086338,2020,07,04,6.5,1,N
IDCJAC0011,086338,2020,07,05,8.9,1,N
IDCJAC0011,086338,2020,07,06,8.1,1,N
IDCJAC0011,086338,2020,07,07,8.9,1,N
IDCJAC0011,086338,2020,07,08,4.9,1,N
IDCJAC0011,086338,2020,07,09,5.7,1,N
IDCJAC0011,086338,2020,07,10,6.4,1,N
IDCJAC0011,086338,2020,07,11,7.3,1,N
IDCJAC0011,086338,2020,07,12,9.0,1,N
IDCJAC0011,086338,2020,07,13,8.7,1,N
IDCJAC0011,086338,2020,07,14,7.7,1,N
IDCJAC0011,086338,2020,07,15,6.2,1,N
IDCJAC0011,086338,2020,07,16,4.2,1,N
IDCJAC0011,086338,2020,07,17,3.1,1,N
IDCJAC0011,086338,2020,07,18,4.0,1,N
IDCJAC0011,086338,2020,07,19,8.2,1,N
IDCJAC0011,086338,2020,07,20,7.6,1,N
IDCJAC0011,086338,2020,07,21,7.2,1,N
IDCJAC0011,086338,2020,07,22,8.1,1,N
IDCJAC0011,086338,2020,07,23,8.1,1,N
IDCJAC0011,086338,2020,07,24,6.1,1,N
IDCJAC0011,086338,2020,07,25,4.3,1,N
IDCJAC0011,086338,2020,07,26,5.0,1,N
IDCJAC0011,086338,2020,07,27,7.4,1,N
IDCJAC0011,086338,2020,07,28,9.6,1,N
IDCJAC0011,086338,2020,07,29,8.6,1,N
IDCJAC0011,086338,2020,07,30,8.0,1,N
IDCJAC0011,086338,2020,07,31,3.4,1,N
IDCJAC0011,086338,2020,08,01,5.7,1,Y
IDCJAC0011,086338,2020,08,02,9.0,1,Y
IDCJAC0011,086338,2020,08,03,7.5,1,Y
IDCJAC0011,086338,2020,08,04,5.1,1,Y
IDCJAC0011,086338,2020,08,05,4.7,1,Y
IDCJAC0011,086338,2020,08,06,5.5,1,Y
IDCJAC0011,086338,2020,08,07,3.3,1,Y
IDCJAC0011,086338,2020,08,08,4.7,1,Y
IDCJAC0011,086338,2020,08,09,8.9,1,Y
IDCJAC0011,086338,2020,08,10,5.7,1,Y
IDCJAC0011,086338,2020,08,11,4.3,1,Y
IDCJAC0011,086338,2020,08,12,9.4,1,Y
IDCJAC0011,086338,2020,08,13,11.4,1,Y
IDCJAC0011,086338,2020,08,14,10.7,1,Y
IDCJAC0011,086338,2020,08,15,7.4,1,Y
IDCJAC0011,086338,2020,08,16,10.7,1,Y
IDCJAC0011,086338,2020,08,17,9.5,1,Y
IDCJAC0011,086338,2020,08,18,10.0,1,Y
IDCJAC0011,086338,2020,08,19,9.7,1,Y
IDCJAC0011,086338,2020,08,20,9.6,1,Y
IDCJAC0011,086338,2020,08,21,8.5,1,Y
IDCJAC0011,086338,2020,08,22,5.8,1,Y
IDCJAC0011,086338,2020,08,23,6.8,1,Y
IDCJAC0011,086338,2020,08,24,6.3,1,Y
IDCJAC0011,086338,2020,08,25,3.6,1,Y
IDCJAC0011,086338,2020,08,26,6.1,1,Y
IDCJAC0011,086338,2020,08,27,8.8,1,Y
IDCJAC0011,086338,2020,08,28,8.5,1,Y
IDCJAC0011,086338,2020,08,29,9.2,1,Y
IDCJAC0011,086338,2020,08,30,12.0,1,Y
IDCJAC0011,086338,2020,08,31,6.9,1,Y
IDCJAC0011,086338,2020,09,01,6.6,1,Y
IDCJAC0011,086338,2020,09,02,8.6,1,Y
IDCJAC0011,086338,2020,09,03,12.9,1,Y
IDCJAC0011,086338,2020,09,04,9.0,1,Y
IDCJAC0011,086338,2020,09,05,9.7,1,Y
IDCJAC0011,086338,2020,09,06,6.9,1,Y
IDCJAC0011,086338,2020,09,07,8.8,1,Y
IDCJAC0011,086338,2020,09,08,16.6,1,Y
IDCJAC0011,086338,2020,09,09,8.1,1,Y
IDCJAC0011,086338,2020,09,10,5.4,1,Y
IDCJAC0011,086338,2020,09,11,10.4,1,Y
IDCJAC0011,086338,2020,09,12,13.3,1,Y
IDCJAC0011,086338,2020,09,13,11.9,1,Y
IDCJAC0011,086338,2020,09,14,11.1,1,Y
IDCJAC0011,086338,2020,09,15,7.4,1,Y
IDCJAC0011,086338,2020,09,16,7.1,1,Y
IDCJAC0011,086338,2020,09,17,11.8,1,Y
IDCJAC0011,086338,2020,09,18,8.4,1,Y
IDCJAC0011,086338,2020,09,19,11.3,1,Y
IDCJAC0011,086338,2020,09,20,17.1,1,Y
IDCJAC0011,086338,2020,09,21,16.6,1,Y
IDCJAC0011,086338,2020,09,22,12.3,1,Y
IDCJAC0011,086338,2020,09,23,10.6,1,Y
IDCJAC0011,086338,2020,09,24,8.2,1,Y
IDCJAC0011,086338,2020,09,25,7.2,1,Y
IDCJAC0011,086338,2020,09,26,6.2,1,Y
IDCJAC0011,086338,2020,09,27,8.8,1,Y
IDCJAC0011,086338,2020,09,28,6.5,1,Y
IDCJAC0011,086338,2020,09,29,4.3,1,Y
IDCJAC0011,086338,2020,09,30,10.7,1,Y
IDCJAC0011,086338,2020,10,01,9.4,1,Y
IDCJAC0011,086338,2020,10,02,12.8,1,Y
IDCJAC0011,086338,2020,10,03,17.4,1,Y
IDCJAC0011,086338,2020,10,04,13.5,1,Y
IDCJAC0011,086338,2020,10,05,9.1,1,Y
IDCJAC0011,086338,2020,10,06,8.9,1,Y
IDCJAC0011,086338,2020,10,07,10.1,1,Y
IDCJAC0011,086338,2020,10,08,11.4,1,Y
IDCJAC0011,086338,2020,10,09,11.7,1,Y
IDCJAC0011,086338,2020,10,10,10.8,1,Y
IDCJAC0011,086338,2020,10,11,11.5,1,Y
IDCJAC0011,086338,2020,10,12,6.3,1,Y
IDCJAC0011,086338,2020,10,13,10.6,1,Y
IDCJAC0011,086338,2020,10,14,11.9,1,Y
IDCJAC0011,086338,2020,10,15,13.8,1,Y
IDCJAC0011,086338,2020,10,16,9.4,1,Y
IDCJAC0011,086338,2020,10,17,11.9,1,Y
IDCJAC0011,086338,2020,10,18,11.3,1,Y
IDCJAC0011,086338,2020,10,19,8.2,1,Y
IDCJAC0011,086338,2020,10,20,7.3,1,Y
IDCJAC0011,086338,2020,10,21,10.4,1,Y
IDCJAC0011,086338,2020,10,22,9.2,1,Y
IDCJAC0011,086338,2020,10,23,12.9,1,Y
IDCJAC0011,086338,2020,10,24,11.8,1,Y
IDCJAC0011,086338,2020,10,25,8.3,1,Y
IDCJAC0011,086338,2020,10,26,9.2,1,Y
IDCJAC0011,086338,2020,10,27,11.1,1,Y
IDCJAC0011,086338,2020,10,28,9.5,1,Y
IDCJAC0011,086338,2020,10,29,11.2,1,Y
IDCJAC0011,086338,2020,10,30,12.9,1,Y
IDCJAC0011,086338,2020,10,31,14.2,1,Y
IDCJAC0011,086338,2020,11,01,12.6,1,Y
IDCJAC0011,086338,2020,11,02,9.6,1,Y
IDCJAC0011,086338,2020,11,03,12.1,1,Y
IDCJAC0011,086338,2020,11,04,21.9,1,Y
IDCJAC0011,086338,2020,11,05,11.1,1,Y
IDCJAC0011,086338,2020,11,06,9.5,1,Y
IDCJAC0011,086338,2020,11,07,11.3,1,Y
IDCJAC0011,086338,2020,11,08,8.4,1,Y
IDCJAC0011,086338,2020,11,09,11.3,1,Y
IDCJAC0011,086338,2020,11,10,16.1,1,Y
IDCJAC0011,086338,2020,11,11,22.8,1,Y
IDCJAC0011,086338,2020,11,12,19.3,1,Y
IDCJAC0011,086338,2020,11,13,15.4,1,Y
IDCJAC0011,086338,2020,11,14,13.5,1,Y
IDCJAC0011,086338,2020,11,15,12.3,1,Y
IDCJAC0011,086338,2020,11,16,18.2,1,Y
IDCJAC0011,086338,2020,11,17,11.9,1,Y
IDCJAC0011,086338,2020,11,18,10.8,1,Y
IDCJAC0011,086338,2020,11,19,16.1,1,Y
IDCJAC0011,086338,2020,11,20,15.6,1,Y
IDCJAC0011,086338,2020,11,21,13.3,1,Y
IDCJAC0011,086338,2020,11,22,16.1,1,Y
IDCJAC0011,086338,2020,11,23,16.6,1,Y
IDCJAC0011,086338,2020,11,24,13.5,1,Y
IDCJAC0011,086338,2020,11,25,13.2,1,Y
IDCJAC0011,086338,2020,11,26,15.8,1,Y
IDCJAC0011,086338,2020,11,27,10.2,1,Y
IDCJAC0011,086338,2020,11,28,16.0,1,Y
IDCJAC0011,086338,2020,11,29,14.4,1,Y
IDCJAC0011,086338,2020,11,30,12.1,1,Y
IDCJAC0011,086338,2020,12,01,16.8,1,Y
IDCJAC0011,086338,2020,12,02,11.9,1,Y
IDCJAC0011,086338,2020,12,03,10.6,1,Y
IDCJAC0011,086338,2020,12,04,11.4,1,Y
IDCJAC0011,086338,2020,12,05,13.9,1,Y
IDCJAC0011,086338,2020,12,06,12.9,1,Y
IDCJAC0011,086338,2020,12,07,11.3,1,Y
IDCJAC0011,086338,2020,12,08,10.6,1,Y
IDCJAC0011,086338,2020,12,09,11.7,1,Y
IDCJAC0011,086338,2020,12,10,13.1,1,Y
IDCJAC0011,086338,2020,12,11,9.6,1,Y
IDCJAC0011,086338,2020,12,12,11.9,1,Y
IDCJAC0011,086338,2020,12,13,16.0,1,Y
IDCJAC0011,086338,2020,12,14,17.7,1,Y
IDCJAC0011,086338,2020,12,15,20.4,1,Y
IDCJAC0011,086338,2020,12,16,15.8,1,Y
IDCJAC0011,086338,2020,12,17,15.5,1,Y
IDCJAC0011,086338,2020,12,18,12.5,1,Y
IDCJAC0011,086338,2020,12,19,12.3,1,Y
IDCJAC0011,086338,2020,12,20,9.9,1,Y
IDCJAC0011,086338,2020,12,21,11.2,1,Y
IDCJAC0011,086338,2020,12,22,13.8,1,Y
IDCJAC0011,086338,2020,12,23,13.5,1,Y
IDCJAC0011,086338,2020,12,24,13.4,1,Y
IDCJAC0011,086338,2020,12,25,13.6,1,Y
IDCJAC0011,086338,2020,12,26,10.2,1,Y
IDCJAC0011,086338,2020,12,27,16.2,1,Y
IDCJAC0011,086338,2020,12,28,11.5,1,Y
IDCJAC0011,086338,2020,12,29,9.0,1,Y
IDCJAC0011,086338,2020,12,30,13.7,1,Y
IDCJAC0011,086338,2020,12,31,15.5,1,Y
